id,name,omdb query,wikipedia resource
1,Star Wars IV,star wars episode iv,Star_Wars_(film)
2,Star Wars V,star wars episode v,The_Empire_Strikes_Back
3,Star Wars VI,star wars episode vi,Return_of_the_Jedi
4,Star Wars I,star wars episode i,Star_Wars:_Episode_I_–_The_Phantom_Menace
5,Star Wars II,star wars episode ii,Star_Wars:_Episode_II_–_Attack_of_the_Clones
6,Star Wars III,star wars episode iii,Star_Wars:_Episode_III_–_Revenge_of_the_Sith
7,Forrest Gump,forrest gump,Forrest_Gump
8,Back To The Future,back to the future,Back_to_the_Future
9,David And Lisa,david and lisa,David_and_Lisa
10,Marley And Me,marley & me,Marley_%26_Me
11,101 Dalmatians,101 dalmatians,101_Dalmatians_(1996_film)
12,Lassie,lassie,Lassie_(1994_film)
13,Titanic,titanic,Titanic_(1997_film)
14,Shawshank Redemption,shawshank redemption,The_Shawshank_Redemption
15,Se7en,se7en,Seven_(1995_film)
16,True Detective,true detective,True_Detective
17,Big Lebowski,big lebowski,The_Big_Lebowski
18,Death Proof,death proof,Death_Proof
19,Slumdog Millionaire,slumdog millionaire,Slumdog_Millionaire
20,Lemonade Joe,lemonade joe,Lemonade_Joe
